"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"501","At http://t.co/tyVWMcAYv3. I'm honored to be with leaders, thinkers and doers https://t.co/Cv46YBKnRL &amp; http://t.co/DFG9VEz6Hc",FALSE,1,NA,2015-03-24 19:29:40,FALSE,NA,"580451434413613056",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","Massoud_Amin",0,FALSE,FALSE,NA,NA
"502","ETS15: The Direct Energy has Landed! http://t.co/2etZ7rf3kw",FALSE,1,NA,2015-03-24 18:46:26,FALSE,NA,"580440551977328641",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ets_conference",0,FALSE,FALSE,NA,NA
"503","ETS15: The Direct Energy has Landed! http://t.co/3ckMvdK4AF",FALSE,0,NA,2015-03-24 18:45:58,FALSE,NA,"580440437191778304",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ets_conference",0,FALSE,FALSE,NA,NA
"504","Live from ETS15 in Austin, Direct Energy: Innovation to Inspiration Smart Home Tour is here! http://t.co/tIiIOSSFf0",FALSE,1,NA,2015-03-24 18:42:09,FALSE,NA,"580439472820613121",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ets_conference",0,FALSE,FALSE,NA,NA
"505","RT @Gridmates: Our CEO will be part of the #ETS15 tomorrow, talking about energy poverty! Catch him at the AT&amp;T Center -""Start-Ups to Watch…",FALSE,0,NA,2015-03-24 18:06:28,FALSE,NA,"580430493302276096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","dm_ballard",2,TRUE,FALSE,NA,NA
"506","More good news! CTO @LarshJohnson will also discuss ""Evolving #Analytics"" at #ETS15 tomorrow!  @ets_conference #smartgrid",FALSE,0,NA,2015-03-24 17:45:33,FALSE,NA,"580425232365813760",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Siemens_SG",0,FALSE,FALSE,NA,NA
"507","Our CEO will be part of the #ETS15 tomorrow, talking about energy poverty! Catch him at the AT&amp;T Center -""Start-Ups to Watch"" section @2pm!",FALSE,0,NA,2015-03-24 17:05:17,FALSE,NA,"580415097593565185",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Gridmates",2,FALSE,FALSE,NA,NA
"508","RT @Siemens_SG: Can't wait! Tomorrow, our CTO @LarshJohnson speaks at #ETS15, ""What's next for the grid &amp; #utilities"" @ets_conference",FALSE,0,NA,2015-03-24 16:50:12,FALSE,NA,"580411301257678850",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","onahunttoday",2,TRUE,FALSE,NA,NA
"509","Can't wait! Tomorrow, our CTO @LarshJohnson speaks at #ETS15, ""What's next for the grid &amp; #utilities"" @ets_conference",FALSE,1,NA,2015-03-24 16:45:22,FALSE,NA,"580410085798707203",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Siemens_SG",2,FALSE,FALSE,NA,NA
"510","RT @Doyle_Beneby: Thankful to have been invited back to @ets_conference . Looking foward to kicking off #ETS15 later today as the opening k…",FALSE,0,NA,2015-03-24 16:31:13,FALSE,NA,"580406524729798658",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CleanTX",2,TRUE,FALSE,NA,NA
"511","Thankful to have been invited back to @ets_conference . Looking foward to kicking off #ETS15 later today as the opening keynote. #energy",FALSE,0,NA,2015-03-24 16:08:24,FALSE,NA,"580400784363393024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Doyle_Beneby",2,FALSE,FALSE,NA,NA
"512","RT @SensusGlobal: Join us for tomorrow's panel on #InternetofThings and #smartcities with Sensus Chairman Lou D'Ambrosio! http://t.co/gIARH…",FALSE,0,NA,2015-03-24 16:06:59,FALSE,NA,"580400426954158080",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","homezillaorguk",2,TRUE,FALSE,NA,NA
"513","Join us for tomorrow's panel on #InternetofThings and #smartcities with Sensus Chairman Lou D'Ambrosio! http://t.co/gIARH9g4IB #ETS15",FALSE,1,NA,2015-03-24 16:05:48,FALSE,NA,"580400130068779009",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SensusGlobal",2,FALSE,FALSE,NA,NA
"514","Excited to be on a panel this afternoon @ets_conference about K-12 Energy Education and share the amazing work I do with @Skillpoint #ETS15",FALSE,2,NA,2015-03-24 15:56:19,FALSE,NA,"580397740368240641",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","leahgrossman",0,FALSE,FALSE,NA,NA
"515","See you at Energy Thought Summit!  http://t.co/OQT9Px1WnE",FALSE,0,NA,2015-03-24 15:49:59,FALSE,NA,"580396146323001346",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Incenergy",0,FALSE,FALSE,NA,NA
"516","RT @ets_conference: @CleanTX @UMNews University of Minnesota Professor Massoud Amin to be keynote speaker ETS15 http://t.co/zeEvTvT0jN
@zpr…",FALSE,0,NA,2015-03-24 15:47:15,FALSE,NA,"580395459774054401",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","arnoldjon",3,TRUE,FALSE,NA,NA
"517","RT @res_americas: @ets_conference kicks off today! Glen Davis, CEO of RES Americas talks #renewables on 3/25. Info: http://t.co/dWzHO1NrUJ",FALSE,0,NA,2015-03-24 14:43:22,FALSE,NA,"580379383862562816",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Energy_Justin",0,FALSE,FALSE,NA,NA
